avg,cuisine,name,price,rank,reviews
4.5 ,"Asian,Thai,Vegetarian Friendly,Vegan Options,Gluten Free Options",Pure Thai Cookhouse,$$ - $$$,"#19 of 10,384 Restaurants in New York City","1,319"
4.5 ,"Asian,Korean,Gluten Free Options",Jungsik,$$$$,"#20 of 10,384 Restaurants in New York City",254
4.5 ,"French,Vegetarian Friendly,Vegan Options,Gluten Free Options",Per Se,$$$$,"#21 of 10,384 Restaurants in New York City","1,743"
4.5 ,"Deli,Vegetarian Friendly",Murray's Cheese,$$ - $$$,"#22 of 10,384 Restaurants in New York City",238
4.5 ,"American,Steakhouse,Latin,South American,Gluten Free Options",K Rico Steakhouse,$$ - $$$,"#23 of 10,384 Restaurants in New York City","2,666"
4.5 ,"Italian,Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",B Side Pizzeria,$$ - $$$,"#24 of 10,384 Restaurants in New York City",369
4.5 ,"American,Vegetarian Friendly",Eileen's Special Cheesecake,$,"#25 of 10,384 Restaurants in New York City","1,920"
4.5 ,Pizza,Juliana's Pizza,$$ - $$$,"#4 of 5,329 Restaurants in Brooklyn","2,850"
4.5 ,"American,Cafe,Vegetarian Friendly,Vegan Options",Broadway Bagel,$,"#26 of 10,384 Restaurants in New York City",209
4.5 ,"Contemporary,American,Vegetarian Friendly,Vegan Options,Gluten Free Options",The Modern,$$$$,"#27 of 10,384 Restaurants in New York City","1,954"
4.5 ,"French,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",Tree Bistro,$$ - $$$,"#28 of 10,384 Restaurants in New York City",326
4.5 ,"French,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",Tree Bistro,$$ - $$$,"#29 of 10,387 Restaurants in New York City",326
4.5 ,"French,Contemporary,Vegetarian Friendly,Vegan Options,Gluten Free Options",Gabriel Kreuther,$$$$,"#30 of 10,387 Restaurants in New York City",629
4.5 ,"Indian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Indian Accent,$$$$,"#31 of 10,387 Restaurants in New York City",466
4.5 ,"Italian,Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",Numero 28 Pizzeria,$$ - $$$,"#32 of 10,387 Restaurants in New York City",969
4.5 ,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Patsy's Italian Restaurant,$$ - $$$,"#33 of 10,387 Restaurants in New York City","4,409"
4.5 ,"Japanese,Sushi,Asian,Vegetarian Friendly,Gluten Free Options",Hatsuhana Restaurant,$$ - $$$,"#34 of 10,387 Restaurants in New York City",343
4.5 ,"American,Eastern European,Vegetarian Friendly,Vegan Options,Kosher,Gluten Free Options",Russ & Daughters,$$ - $$$,"#35 of 10,387 Restaurants in New York City","1,057"
4.5 ,"Asian,International,Fusion",Momofuku Ko,$$$$,"#36 of 10,387 Restaurants in New York City",395
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",Gramercy Tavern,$$$$,"#37 of 10,387 Restaurants in New York City","3,541"
4.5 ,"New Zealand,Vegetarian Friendly,Vegan Options,Gluten Free Options",The Musket Room,$$$$,"#38 of 10,387 Restaurants in New York City",283
4.5 ,"American,Healthy,Vegetarian Friendly,Vegan Options,Gluten Free Options",RabbitHole,$$ - $$$,"#6 of 5,330 Restaurants in Brooklyn",249
4.5 ,"American,Steakhouse,Gluten Free Options",Gallagher's Steak House,$$$$,"#39 of 10,387 Restaurants in New York City","4,632"
4.5 ,"American,Cafe,Vegetarian Friendly,Vegan Options",Bagels & Schmear,$,"#40 of 10,387 Restaurants in New York City",171
4.5 ,"Italian,Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",Rubirosa,$$ - $$$,"#41 of 10,387 Restaurants in New York City","1,169"
4.5 ,"Sushi,Asian,Healthy,Vegetarian Friendly,Vegan Options,Gluten Free Options",Beyond Sushi,$$ - $$$,"#42 of 10,387 Restaurants in New York City",169
4.5 ,"Spanish,French,Vegetarian Friendly,Vegan Options,Gluten Free Options",Cocotte,$$ - $$$,"#43 of 10,387 Restaurants in New York City",248
4.5 ,"Lebanese,Mediterranean,Middle Eastern,Armenian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Almayass,$$$$,"#44 of 10,387 Restaurants in New York City",232
4.5 ,"Japanese,Sushi,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Izakaya Mew,$$ - $$$,"#45 of 10,387 Restaurants in New York City",956
4.5 ,"South American,Brazilian,Steakhouse,Latin,Seafood,Vegetarian Friendly,Vegan Options,Gluten Free Options",Samba Kitchen,$$ - $$$,"#46 of 10,387 Restaurants in New York City",100
4.5 ,"French,European,Vegetarian Friendly,Gluten Free Options,Vegan Options",Bouley Restaurant,$$$$,"#47 of 10,387 Restaurants in New York City","1,687"
4.5 ,"Asian,Korean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Her Name Is Han,$$ - $$$,"#48 of 10,387 Restaurants in New York City",196
4.5 ,"American,Seafood,Gluten Free Options",Cull & Pistol,$$ - $$$,"#49 of 10,387 Restaurants in New York City",884
4.5 ,"French,European,Vegetarian Friendly,Gluten Free Options,Vegan Options",Tocqueville,$$$$,"#50 of 10,387 Restaurants in New York City",256
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",Craft,$$$$,"#51 of 10,387 Restaurants in New York City",942
4.5 ,"Seafood,Mediterranean,Greek,Vegetarian Friendly,Vegan Options,Gluten Free Options",Nerai,$$$$,"#52 of 10,387 Restaurants in New York City",604
4.5 ,"Italian,Pizza,Vegetarian Friendly,Vegan Options",San Matteo Pizza Espresso Bar,$$ - $$$,"#53 of 10,387 Restaurants in New York City",341
4.5 ,"American,Cafe,Eastern European,Deli,Vegetarian Friendly,Gluten Free Options",Russ & Daughters Cafe,$$ - $$$,"#54 of 10,387 Restaurants in New York City",571
4.5 ,"Healthy,Sushi,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Beyond Sushi,$$ - $$$,"#55 of 10,387 Restaurants in New York City",213
4.5 ,"American,Steakhouse,Seafood,Vegetarian Friendly,Vegan Options,Gluten Free Options",Ocean Prime,$$$$,"#56 of 10,387 Restaurants in New York City",550
4.5 ,"American,Bar",Bemelmans Bar,$$$$,"#57 of 10,387 Restaurants in New York City",461
4.5 ,"Seafood,Mediterranean,Greek,Vegetarian Friendly,Vegan Options,Gluten Free Options",Estiatorio Milos,$$$$,"#58 of 10,387 Restaurants in New York City","1,406"
4.5 ,"American,Steakhouse,Gluten Free Options",Keens Steakhouse,$$$$,"#59 of 10,387 Restaurants in New York City","6,265"
4.5 ,"Irish,Bar,Pub,Vegetarian Friendly,Vegan Options,Gluten Free Options",The Mean Fiddler,$$ - $$$,"#60 of 10,387 Restaurants in New York City","1,003"
4.5 ,Gluten Free Options,Atera,$$$$,"#61 of 10,387 Restaurants in New York City",181
4.5 ,"Asian,Thai,Vegetarian Friendly,Vegan Options,Gluten Free Options",Up Thai restaurant,$$ - $$$,"#62 of 10,387 Restaurants in New York City",311
4.5 ,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Scalini Fedeli,$$$$,"#63 of 10,387 Restaurants in New York City",407
4.5 ,"American,Vegetarian Friendly,Vegan Options",Jacob Restaurant Soul Food & Salad Bar,$,"#64 of 10,387 Restaurants in New York City",170
4.5 ,"American,Seafood,Gluten Free Options",Flex Mussels - 13th Street,$$ - $$$,"#65 of 10,387 Restaurants in New York City",241
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",The Little Owl,$$ - $$$,"#66 of 10,387 Restaurants in New York City","1,189"
4.5 ,"Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Rustic Table,$$ - $$$,"#67 of 10,387 Restaurants in New York City",610
4.5 ,"American,Cafe",The Donut Pub,$,"#68 of 10,387 Restaurants in New York City",191
4.5 ,"Japanese,Sushi,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Blue Ribbon Sushi,$$ - $$$,"#69 of 10,387 Restaurants in New York City",956
4.5 ,"American,Steakhouse,Gluten Free Options",Lincoln Square Steak,$$$$,"#70 of 10,387 Restaurants in New York City","2,056"
4.5 ,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Del Posto,$$$$,"#71 of 10,387 Restaurants in New York City","1,582"
4.5 ,"American,Bar,Vegetarian Friendly,Vegan Options,Gluten Free Options",Jacob's Pickles,$$ - $$$,"#72 of 10,387 Restaurants in New York City",839
4.5 ,"Wine Bar,Vegetarian Friendly,Gluten Free Options",Casellula,$$ - $$$,"#73 of 10,387 Restaurants in New York City",263
4.5 ,"American,Bar,Vegetarian Friendly",The Roxy Lounge,$$ - $$$,"#74 of 10,387 Restaurants in New York City",118
4.5 ,"Lebanese,Mediterranean,Middle Eastern,Israeli,Vegetarian Friendly,Vegan Options,Kosher,Gluten Free Options",Hummus Place Upper West Side,$,"#75 of 10,387 Restaurants in New York City",300
4.5 ,"Italian,Mediterranean,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",Basso56,$$ - $$$,"#76 of 10,387 Restaurants in New York City","2,156"
4.5 ,"Italian,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",L'Artusi,$$$$,"#77 of 10,387 Restaurants in New York City",477
4.5 ,"Seafood,Vegetarian Friendly,Gluten Free Options",AQUAGRILL,$$$$,"#78 of 10,387 Restaurants in New York City","1,208"
4.5 ,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Rafele,$$ - $$$,"#79 of 10,387 Restaurants in New York City","1,207"
4.5 ,"Mexican,Latin,Central American,Vegetarian Friendly,Vegan Options,Gluten Free Options",El Centro,$$ - $$$,"#80 of 10,387 Restaurants in New York City",792
4.5 ,"Japanese,Sushi,Asian,Vegetarian Friendly,Gluten Free Options",Momoya,$$ - $$$,"#81 of 10,387 Restaurants in New York City",216
4.5 ,"French,Swiss,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",Raclette,$$ - $$$,"#82 of 10,387 Restaurants in New York City",372
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",BG - Bergdorf Goodman,$$$$,"#83 of 10,387 Restaurants in New York City",481
4.5 ,"American,Steakhouse,Vegetarian Friendly,Gluten Free Options",The Capital Grille,$$$$,"#84 of 10,387 Restaurants in New York City","1,269"
4.5 ,"Italian,Seafood,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Trattoria Pesce Pasta,$$ - $$$,"#85 of 10,387 Restaurants in New York City",176
4.5 ,"Italian,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Il Punto Ristorante,$$ - $$$,"#86 of 10,387 Restaurants in New York City","1,337"
4.5 ,"American,European,International,Fusion,Vegetarian Friendly,Vegan Options,Gluten Free Options",The River Cafe,$$$$,"#9 of 5,330 Restaurants in Brooklyn","3,814"
4.5 ,"Moroccan,Mediterranean,Middle Eastern,Vegetarian Friendly,Vegan Options,Gluten Free Options",Cafe Mogador,$$ - $$$,"#7 of 5,329 Restaurants in Brooklyn",434
4.5 ,"American,European,International,Fusion,Vegetarian Friendly,Vegan Options,Gluten Free Options",The River Cafe,$$$$,"#9 of 5,329 Restaurants in Brooklyn","3,817"
4.5 ,"American,Steakhouse,Vegetarian Friendly,Gluten Free Options",The Capital Grille,$$$$,"#88 of 10,384 Restaurants in New York City",889
4.5 ,"American,Bar,Gastropub,Gluten Free Options",The NoMad Bar,$$ - $$$,"#89 of 10,384 Restaurants in New York City",309
4.5 ,"Italian,Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",Patzeria Family & Friends,$$ - $$$,"#90 of 10,384 Restaurants in New York City","3,421"
4.5 ,"Japanese,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Ippudo,$$ - $$$,"#91 of 10,384 Restaurants in New York City","1,205"
4.5 ,"American,Bar,Healthy,Vegetarian Friendly,Vegan Options,Gluten Free Options",Bareburger,$$ - $$$,"#92 of 10,384 Restaurants in New York City","1,329"
4.5 ,"Asian,Korean,Gastropub,Vegetarian Friendly,Vegan Options,Gluten Free Options",Barn Joo 35,$$ - $$$,"#93 of 10,384 Restaurants in New York City",166
4.5 ,"Italian,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",Tony's Di Napoli - Midtown,$$ - $$$,"#94 of 10,384 Restaurants in New York City","5,883"
4.5 ,"American,Bar,Barbecue,Gluten Free Options",Dinosaur Bar-B-Que,$$ - $$$,"#95 of 10,384 Restaurants in New York City","1,126"
4.5 ,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Bistango Restaurant,$$ - $$$,"#96 of 10,384 Restaurants in New York City",472
4.5 ,"Italian,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Via Carota,$$ - $$$,"#97 of 10,384 Restaurants in New York City",281
4.5 ,"Chinese,Fast Food,Asian",Fried Dumpling,$,"#98 of 10,384 Restaurants in New York City",208
4.5 ,"American,Deli,Vegetarian Friendly,Vegan Options,Gluten Free Options",Sunac Natural Food,$,"#99 of 10,384 Restaurants in New York City",170
4.5 ,"American,Seafood,Vegetarian Friendly,Gluten Free Options",Sea Fire Grill,$$$$,"#100 of 10,384 Restaurants in New York City","1,005"
4.5 ,"Japanese,Asian,Soups,Vegetarian Friendly",Naruto Ramen,$,"#101 of 10,384 Restaurants in New York City",170
4.5 ,"Italian,Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",Oregano,$$ - $$$,"#5 of 5,329 Restaurants in Brooklyn",256
4.5 ,"Vegetarian Friendly,Vegan Options,Gluten Free Options",Feinstein's/54 Below,$$ - $$$,"#102 of 10,384 Restaurants in New York City",322
4.5 ,"Japanese,Asian,Soups,Vegetarian Friendly,Gluten Free Options",Momosan Ramen & Sake,$$ - $$$,"#103 of 10,384 Restaurants in New York City",495
4.5 ,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Via Della Pace,$$ - $$$,"#104 of 10,384 Restaurants in New York City",919
4.5 ,"Steakhouse,Latin,Argentinean,Gluten Free Options",Buenos Aires,$$ - $$$,"#105 of 10,384 Restaurants in New York City",335
4.5 ,"Asian,Vietnamese,Vegetarian Friendly,Vegan Options",Saigon Shack,$,"#106 of 10,384 Restaurants in New York City",241
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",Chefs Club NY,$$$$,"#107 of 10,384 Restaurants in New York City",425
4.5 ,"American,Vegetarian Friendly,Vegan Options",Dirt Candy,$$ - $$$,"#108 of 10,384 Restaurants in New York City",316
4.5 ,"Italian,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Da Andrea Ristorante,$$ - $$$,"#109 of 10,384 Restaurants in New York City",295
4.5 ,"Asian,Korean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Hangawi,$$$$,"#110 of 10,384 Restaurants in New York City",585
4.5 ,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Orso,$$ - $$$,"#111 of 10,384 Restaurants in New York City",440
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",Gotham Bar & Grill,$$$$,"#112 of 10,384 Restaurants in New York City","1,685"
4.5 ,"Italian,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Masseria Dei Vini,$$$$,"#113 of 10,384 Restaurants in New York City",529
4.5 ,"Caribbean,Latin,Cuban,Central American",Margon,$,"#114 of 10,384 Restaurants in New York City",170
4.5 ,"Caribbean,Latin,Cuban,Central American",Margon,$,"#115 of 10,387 Restaurants in New York City",170
4.5 ,"Cajun & Creole,International,Asian,Healthy,Vegetarian Friendly,Vegan Options,Gluten Free Options",Red Bamboo,$$ - $$$,"#116 of 10,387 Restaurants in New York City",299
4.5 ,"Italian,Vegetarian Friendly,Gluten Free Options,Vegan Options",Aurora SoHo,$$ - $$$,"#117 of 10,387 Restaurants in New York City",369
4.5 ,"Indian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Bengal Tiger,$$ - $$$,"#118 of 10,387 Restaurants in New York City",443
4.5 ,"Italian,Asian,Vegetarian Friendly,Gluten Free Options,Vegan Options",Monte's Trattoria,$$ - $$$,"#119 of 10,387 Restaurants in New York City",473
4.5 ,"American,Steakhouse,Gluten Free Options",Mastro's Steakhouse,$$$$,"#120 of 10,387 Restaurants in New York City",581
4.5 ,"Italian,Vegetarian Friendly,Gluten Free Options",Queen Italian Restaurant,$$ - $$$,"#14 of 5,330 Restaurants in Brooklyn",311
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",Bareburger,$$ - $$$,"#121 of 10,387 Restaurants in New York City",361
4.5 ,"Brazilian,Latin,South American,Vegetarian Friendly,Gluten Free Options",Via Brasil Restaurant,$$ - $$$,"#122 of 10,387 Restaurants in New York City",425
4.5 ,"French,Vegetarian Friendly,Vegan Options,Gluten Free Options",La Grenouille,$$$$,"#123 of 10,387 Restaurants in New York City",847
4.5 ,"Italian,Pizza,Vegetarian Friendly",La Lanterna di Vittorio,$$ - $$$,"#124 of 10,387 Restaurants in New York City",342
4.5 ,"American,Bar,Pub",Blind Tiger Ale House,$$ - $$$,"#125 of 10,387 Restaurants in New York City",287
4.5 ,"American,Seafood",Burger & Lobster,$$ - $$$,"#126 of 10,387 Restaurants in New York City",948
4.5 ,"Japanese,Sushi,Asian,Vegetarian Friendly,Gluten Free Options",Tomoe Sushi,$$ - $$$,"#127 of 10,387 Restaurants in New York City",354
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",PRINT,$$$$,"#128 of 10,387 Restaurants in New York City",933
4.5 ,"American,Polish,European,Soups,Eastern European,Ukrainian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Veselka,$$ - $$$,"#129 of 10,387 Restaurants in New York City",922
4.5 ,"Chinese,Japanese,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Buddakan,$$$$,"#130 of 10,387 Restaurants in New York City","5,145"
4.5 ,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",IL Melograno,$$ - $$$,"#131 of 10,387 Restaurants in New York City",276
4.5 ,"Seafood,American,International,Vegetarian Friendly,Vegan Options",Blue Ribbon Brasserie,$$ - $$$,"#132 of 10,387 Restaurants in New York City",357
4.5 ,"Italian,Pizza,Vegetarian Friendly,Vegan Options",John's of Bleecker Street,$$ - $$$,"#133 of 10,387 Restaurants in New York City","1,670"
4.5 ,"Italian,Seafood,Mediterranean,Soups,Vegetarian Friendly,Vegan Options,Gluten Free Options",Marea,$$$$,"#134 of 10,387 Restaurants in New York City","2,151"
4.5 ,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Forlini's Restaurant,$$ - $$$,"#135 of 10,387 Restaurants in New York City",695
4.5 ,"American,Gluten Free Options,Vegetarian Friendly",Henry's End Restaurant,$$ - $$$,"#15 of 5,330 Restaurants in Brooklyn",223
4.5 ,"Italian,Pizza,Mediterranean,Vegetarian Friendly,Vegan Options",Norma,$$ - $$$,"#136 of 10,387 Restaurants in New York City",83
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",The Polo Bar at Ralph Lauren,$$$$,"#137 of 10,387 Restaurants in New York City",566
4.5 ,"American,Sushi,Vegetarian Friendly,Gluten Free Options,Vegan Options",Hillstone,$$ - $$$,"#138 of 10,387 Restaurants in New York City",597
4.5 ,"Italian,Pizza,Vegetarian Friendly,Vegan Options",Adrienne's Pizzabar,$$ - $$$,"#139 of 10,387 Restaurants in New York City",799
4.5 ,"American,Cafe,Vegetarian Friendly,Vegan Options,Gluten Free Options",Peacefood Cafe,$$ - $$$,"#140 of 10,387 Restaurants in New York City",312
4.5 ,"Mediterranean,Greek,Vegetarian Friendly,Vegan Options,Gluten Free Options",Pylos,$$ - $$$,"#141 of 10,387 Restaurants in New York City",373
4.5 ,"Wine Bar,American,Vegetarian Friendly",Murray's Cheese Bar,$$ - $$$,"#142 of 10,387 Restaurants in New York City",364
4.5 ,"Italian,Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",Ribalta Pizza,$$ - $$$,"#143 of 10,387 Restaurants in New York City",707
4.5 ,"Wine Bar,Vegetarian Friendly,Gluten Free Options,Vegan Options",Ayza Wine & Chocolate Bar,$$ - $$$,"#144 of 10,387 Restaurants in New York City",510
4.5 ,"American,Bar,Seafood,Gluten Free Options",Mermaid Oyster Bar,$$ - $$$,"#145 of 10,387 Restaurants in New York City",247
4.5 ,"Middle Eastern,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Taboon,$$ - $$$,"#146 of 10,387 Restaurants in New York City",369
4.5 ,"American,Seafood,Cajun & Creole,Gluten Free Options",The Boil,$$ - $$$,"#147 of 10,387 Restaurants in New York City",179
4.5 ,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Emporio,$$ - $$$,"#148 of 10,387 Restaurants in New York City",520
4.5 ,"Italian,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Palma,$$ - $$$,"#149 of 10,387 Restaurants in New York City",400
4.5 ,"American,Bar,Vegetarian Friendly",Black Iron Burger,$$ - $$$,"#150 of 10,387 Restaurants in New York City",239
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",Blossom Vegan Restaurant,$$ - $$$,"#151 of 10,387 Restaurants in New York City",645
4.5 ,"Sushi,Asian,Korean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Franchia Vegan Cafe,$$ - $$$,"#152 of 10,387 Restaurants in New York City",353
4.5 ,"American,Cafe,Fast Food,Deli,Vegetarian Friendly,Vegan Options",Zucker's Bagels & Smoked Fish,$,"#153 of 10,387 Restaurants in New York City",281
4.5 ,"Spanish,Wine Bar,Mediterranean,Vegetarian Friendly",Tomino - Taberna Gallega,$$ - $$$,"#154 of 10,387 Restaurants in New York City",115
4.5 ,"French,Vegetarian Friendly",Raoul's,$$$$,"#155 of 10,387 Restaurants in New York City",365
4.5 ,"Indian,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",The MasalaWala,$$ - $$$,"#156 of 10,387 Restaurants in New York City",386
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",Market Table,$$ - $$$,"#157 of 10,387 Restaurants in New York City",435
4.5 ,"American,Bar,Vegetarian Friendly",Black Iron Burger,$$ - $$$,"#158 of 10,387 Restaurants in New York City",619
4.5 ,"American,Cafe,Vegetarian Friendly,Vegan Options,Gluten Free Options",The Bluebell Cafe,$$ - $$$,"#159 of 10,387 Restaurants in New York City",226
4.5 ,"American,Contemporary,Vegetarian Friendly,Vegan Options,Gluten Free Options",Blue Hill,$$$$,"#160 of 10,387 Restaurants in New York City",669
4.5 ,"Indian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Tamarind - Tribeca,$$$$,"#161 of 10,387 Restaurants in New York City",656
4.5 ,"Asian,Thai,Vegetarian Friendly,Vegan Options,Gluten Free Options",Land,$$ - $$$,"#162 of 10,387 Restaurants in New York City",316
4.5 ,"French,Cafe,European,Vegetarian Friendly,Vegan Options,Gluten Free Options",Buvette Gastrotheque,$$ - $$$,"#163 of 10,387 Restaurants in New York City",867
4.5 ,"Japanese,Asian,Soups,Vegetarian Friendly,Vegan Options,Gluten Free Options",Momofuku Noodle Bar,$$ - $$$,"#164 of 10,387 Restaurants in New York City","1,352"
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",Westway Diner,$,"#165 of 10,387 Restaurants in New York City","1,930"
4.5 ,"American,Mediterranean,Spanish,Vegetarian Friendly,Vegan Options,Gluten Free Options",Gato,$$$$,"#166 of 10,387 Restaurants in New York City",654
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",Westville Hudson,$$ - $$$,"#167 of 10,387 Restaurants in New York City",168
4.5 ,"American,Steakhouse,Gluten Free Options",Del Frisco's Double Eagle Steakhouse,$$$$,"#168 of 10,387 Restaurants in New York City","3,158"
4.5 ,"American,Cafe,Diner,Vegetarian Friendly,Vegan Options,Gluten Free Options",Andrew's Coffee Shop,$,"#169 of 10,387 Restaurants in New York City","1,856"
4.5 ,"Italian,Vegetarian Friendly",Emilio's Ballato,$$ - $$$,"#170 of 10,387 Restaurants in New York City",296
4.5 ,"American,Seafood,Gluten Free Options",Ed's Lobster Bar,$$ - $$$,"#171 of 10,387 Restaurants in New York City",697
4.5 ,"Vegetarian Friendly,Vegan Options,Gluten Free Options",Dean Deluca,$$ - $$$,"#172 of 10,387 Restaurants in New York City",276
4.5 ,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Toscana 49,$$ - $$$,"#173 of 10,384 Restaurants in New York City",516
4.5 ,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options",STATE Grill and Bar,$$ - $$$,"#174 of 10,384 Restaurants in New York City",273
